Date,High,Low,Open,Close,Volume,Adj Close
2014-01-02,4.765580177307129,4.607359886169434,4.736989974975586,4.613080024719238,6246814.0,3.9117724895477295
2014-01-03,4.721739768981934,4.597829818725586,4.634049892425537,4.7026801109313965,5042976.0,3.9877512454986572
2014-01-06,4.813240051269531,4.675990104675293,4.675990104675293,4.775109767913818,4931547.0,4.049169540405273
2014-01-07,4.8847198486328125,4.748419761657715,4.775109767913818,4.83705997467041,7119911.0,4.101701736450195
2014-01-08,4.965740203857422,4.832300186157227,4.879960060119629,4.860889911651611,7809340.0,4.121908187866211
2014-01-09,5.099170207977295,4.832300186157227,4.8847198486328125,5.051519870758057,10946276.0,4.283557891845703
2014-01-10,5.18494987487793,5.041979789733887,5.094409942626953,5.113470077514648,9170282.0,4.336090564727783
2014-01-13,5.270730018615723,5.113470077514648,5.156360149383545,5.270730018615723,6790366.0,4.469442844390869
2014-01-14,5.308859825134277,5.175419807434082,5.208779811859131,5.308859825134277,7432679.0,4.501775741577148
2014-01-15,5.475649833679199,5.318389892578125,5.323150157928467,5.466119766235352,8007294.0,4.635128498077393
2014-01-16,5.485179901123047,5.33745002746582,5.466119766235352,5.356510162353516,9465432.0,4.542181968688965
2014-01-17,5.432759761810303,5.270730018615723,5.33745002746582,5.370810031890869,7270457.0,4.55430793762207
2014-01-20,5.385109901428223,5.13730001449585,5.366040229797363,5.156360149383545,5424279.0,4.372459888458252
2014-01-21,5.285029888153076,5.194479942321777,5.194479942321777,5.251669883728027,5899515.0,4.453280448913574
2014-01-22,5.385109901428223,5.146830081939697,5.33745002746582,5.227839946746826,9092303.0,4.433072566986084
2014-01-23,5.28026008605957,5.156360149383545,5.175419807434082,5.180190086364746,5906605.0,4.392667293548584
2014-01-24,5.208779811859131,5.02292013168335,5.189720153808594,5.099170207977295,7037392.0,4.3239641189575195
2014-01-27,5.051519870758057,4.822770118713379,5.032450199127197,4.83705997467041,13622998.0,4.101701736450195
